,DATETIME,HB_HOUSTON (DALMP),GR_ERCOT (WIND_RTI),GR_PANHANDLE (WIND_RTI),GR_COASTAL (WIND_RTI),GR_SOUTH (WIND_RTI),GR_NORTH (WIND_RTI),GR_WEST (WIND_RTI),WZ_ERCOT (RTLOAD),WZ_Coast (RTLOAD),WZ_East (RTLOAD),WZ_FarWest (RTLOAD),WZ_North (RTLOAD),WZ_NorthCentral (RTLOAD),WZ_SouthCentral (RTLOAD),WZ_Southern (RTLOAD),WZ_West (RTLOAD),TX - El Paso/Intl (TEMP_F),TX - Houston/Intercontinental (TEMP_F),ERCOT (GEN_RESOURCE),Henry (GASPRICE),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR
0,2020-09-30 01:00:00,11.25,11026.04,1577.95,25.53,840.71,618.14,7963.71,32230.32,9466.64,1103.49,3474.35,721.6,9146.48,4887.44,2477.51,952.83,60.1,57.9,47779.8,1.691,1,09/30/2020,,SEPTEMBER,2020
1,2020-09-30 02:00:00,9.39,11519.25,1970.73,70.0,882.34,799.2,7796.98,30902.57,9135.2,1023.14,3492.14,720.6,8666.72,4608.16,2365.45,891.15,59.0,57.0,47866.5,1.691,2,09/30/2020,,SEPTEMBER,2020
2,2020-09-30 03:00:00,5.9,11220.64,2320.01,100.92,859.02,848.29,7092.4,30103.53,8914.63,1008.98,3490.22,723.89,8363.25,4436.0,2281.3,885.24,63.0,55.9,47819.4,1.691,3,09/30/2020,,SEPTEMBER,2020
3,2020-09-30 04:00:00,5.39,11170.28,2456.07,136.21,945.12,888.14,6744.74,29752.37,8861.42,1012.5,3470.18,734.79,8214.84,4340.2,2233.98,884.45,57.9,57.0,47739.2,1.691,4,09/30/2020,,SEPTEMBER,2020
4,2020-09-30 05:00:00,5.91,11465.83,2545.12,184.12,1040.59,970.29,6725.71,30082.29,8967.94,1029.37,3438.87,735.69,8330.76,4412.02,2214.03,953.61,55.9,55.9,47602.9,1.691,5,09/30/2020,,SEPTEMBER,2020
5,2020-09-30 06:00:00,10.15,11785.69,2568.42,187.67,1127.7,1026.06,6875.84,31332.75,9343.07,1084.38,3410.3,750.08,8846.97,4590.64,2276.54,1030.76,54.0,55.9,47612.0,1.691,6,09/30/2020,,SEPTEMBER,2020
6,2020-09-30 07:00:00,12.82,11195.4,2373.64,279.85,1108.62,927.57,6505.72,33607.37,9915.63,1210.37,3454.87,793.26,9702.93,5022.27,2436.88,1071.16,55.0,55.0,52576.4,1.691,7,09/30/2020,,SEPTEMBER,2020
7,2020-09-30 08:00:00,12.53,10097.65,1767.64,482.24,1135.92,821.94,5889.91,34777.11,10155.68,1238.59,3501.37,780.28,10189.62,5321.72,2533.64,1056.21,59.0,57.0,52501.4,1.691,8,09/30/2020,,SEPTEMBER,2020
8,2020-09-30 09:00:00,11.82,8901.8,1281.47,528.13,1171.17,716.95,5204.08,35482.63,10405.21,1234.68,3528.54,783.75,10509.17,5412.45,2605.45,1003.39,63.0,66.0,51792.4,1.691,9,09/30/2020,,SEPTEMBER,2020
9,2020-09-30 10:00:00,13.12,5100.79,614.86,213.11,677.08,492.17,3103.57,36612.74,10818.56,1257.81,3576.82,856.22,10911.42,5527.05,2716.19,948.66,68.0,72.0,51444.4,1.691,10,09/30/2020,,SEPTEMBER,2020
